ssh://plkang@10.155.120.16:22/home/plkang/software/anaconda3/anaconda3/envs/pytorch1.8/bin/python3.7 -u /home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py
/home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py:55: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  pad_width = np.int(pad_width)
/home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py:83: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  pad_width = np.int(pad_width)
/home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py:91: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  pad_width = np.int(pad_width)
Training size and testing size are: (695, 200, 16, 16) and (9671, 200, 16, 16)
The structure of the designed network CNN(
  (conv1): Sequential(
    (0): Conv2d(200, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv2): Sequential(
    (0): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): AdaptiveMaxPool2d(output_size=1)
  )
  (out): Linear(in_features=128, out_features=16, bias=True)
)
Epoch:  0 | train loss: 3.0062 | test accuracy: 0.04
Epoch:  1 | train loss: 1.3152 | test accuracy: 0.26
Epoch:  2 | train loss: 0.8794 | test accuracy: 0.60
Epoch:  3 | train loss: 0.7027 | test accuracy: 0.75
Epoch:  4 | train loss: 0.4972 | test accuracy: 0.75
Epoch:  5 | train loss: 0.3475 | test accuracy: 0.78
Epoch:  6 | train loss: 0.2661 | test accuracy: 0.85
Epoch:  7 | train loss: 0.2308 | test accuracy: 0.86
Epoch:  8 | train loss: 0.2408 | test accuracy: 0.86
Epoch:  9 | train loss: 0.1199 | test accuracy: 0.91
Epoch:  10 | train loss: 0.1127 | test accuracy: 0.88
Epoch:  11 | train loss: 0.1280 | test accuracy: 0.90
Epoch:  12 | train loss: 0.0492 | test accuracy: 0.89
Epoch:  13 | train loss: 0.0332 | test accuracy: 0.92
Epoch:  14 | train loss: 0.0515 | test accuracy: 0.91
Epoch:  15 | train loss: 0.0615 | test accuracy: 0.86
Epoch:  16 | train loss: 0.0390 | test accuracy: 0.91
Epoch:  17 | train loss: 0.0525 | test accuracy: 0.89
Epoch:  18 | train loss: 0.0244 | test accuracy: 0.92
Epoch:  19 | train loss: 0.0259 | test accuracy: 0.93
Epoch:  20 | train loss: 0.0191 | test accuracy: 0.94
Epoch:  21 | train loss: 0.0147 | test accuracy: 0.94
Epoch:  22 | train loss: 0.0108 | test accuracy: 0.94
Epoch:  23 | train loss: 0.0117 | test accuracy: 0.94
Epoch:  24 | train loss: 0.0174 | test accuracy: 0.94
Epoch:  25 | train loss: 0.0116 | test accuracy: 0.90
Epoch:  26 | train loss: 0.0104 | test accuracy: 0.94
Epoch:  27 | train loss: 0.0095 | test accuracy: 0.94
Epoch:  28 | train loss: 0.0075 | test accuracy: 0.94
Epoch:  29 | train loss: 0.0061 | test accuracy: 0.95
Epoch:  30 | train loss: 0.0067 | test accuracy: 0.94
Epoch:  31 | train loss: 0.0050 | test accuracy: 0.94
Epoch:  32 | train loss: 0.0088 | test accuracy: 0.94
Epoch:  33 | train loss: 0.0036 | test accuracy: 0.94
Epoch:  34 | train loss: 0.0046 | test accuracy: 0.95
Epoch:  35 | train loss: 0.0043 | test accuracy: 0.95
Epoch:  36 | train loss: 0.0039 | test accuracy: 0.95
Epoch:  37 | train loss: 0.0038 | test accuracy: 0.95
Epoch:  38 | train loss: 0.0037 | test accuracy: 0.95
Epoch:  39 | train loss: 0.0037 | test accuracy: 0.95
Epoch:  40 | train loss: 0.0038 | test accuracy: 0.94
Epoch:  41 | train loss: 0.0063 | test accuracy: 0.95
Epoch:  42 | train loss: 0.0029 | test accuracy: 0.95
Epoch:  43 | train loss: 0.0030 | test accuracy: 0.94
Epoch:  44 | train loss: 0.0040 | test accuracy: 0.95
Epoch:  45 | train loss: 0.0021 | test accuracy: 0.95
Epoch:  46 | train loss: 0.0026 | test accuracy: 0.95
Epoch:  47 | train loss: 0.0023 | test accuracy: 0.95
Epoch:  48 | train loss: 0.0022 | test accuracy: 0.94
Epoch:  49 | train loss: 0.0037 | test accuracy: 0.95
Epoch:  50 | train loss: 0.0112 | test accuracy: 0.88
Epoch:  51 | train loss: 0.0044 | test accuracy: 0.87
Epoch:  52 | train loss: 0.0060 | test accuracy: 0.90
Epoch:  53 | train loss: 0.0037 | test accuracy: 0.95
Epoch:  54 | train loss: 0.0053 | test accuracy: 0.94
Epoch:  55 | train loss: 0.0026 | test accuracy: 0.94
Epoch:  56 | train loss: 0.0024 | test accuracy: 0.95
Epoch:  57 | train loss: 0.0016 | test accuracy: 0.95
Epoch:  58 | train loss: 0.0022 | test accuracy: 0.95
Epoch:  59 | train loss: 0.0016 | test accuracy: 0.95
Epoch:  60 | train loss: 0.0015 | test accuracy: 0.95
Epoch:  61 | train loss: 0.0015 | test accuracy: 0.95
Epoch:  62 | train loss: 0.0019 | test accuracy: 0.95
Epoch:  63 | train loss: 0.0017 | test accuracy: 0.95
Epoch:  64 | train loss: 0.0025 | test accuracy: 0.95
Epoch:  65 | train loss: 0.0010 | test accuracy: 0.95
Epoch:  66 | train loss: 0.0011 | test accuracy: 0.95
Epoch:  67 | train loss: 0.0023 | test accuracy: 0.95
Epoch:  68 | train loss: 0.0015 | test accuracy: 0.95
Epoch:  69 | train loss: 0.0014 | test accuracy: 0.95
